Region,Cluster,Barren and sparsely vegetated land,Built-up land,Forest land,Grassland & woodland,Cropland,Other,Water bodies,Total
ADD,1,0.00,0.03,0.00,0.01,0.03,0.00,0.01,0.08
AFA,1,2.79,0.58,0.94,21.78,2.76,0.00,0.00,28.85
AFA,2,41.52,0.34,0.64,22.07,1.26,0.00,4.72,70.55
AMH,1,0.00,0.07,0.06,17.05,31.45,0.00,0.00,48.63
AMH,2,0.21,0.09,0.22,42.77,37.19,0.00,23.15,103.63
BEN,1,0.00,0.02,1.18,17.98,0.41,0.00,0.49,20.08
BEN,2,0.00,0.00,0.15,1.86,0.55,0.00,0.49,3.06
BEN,3,0.00,0.01,1.40,13.73,1.17,0.00,0.49,16.81
GAM,1,0.00,0.00,0.99,11.91,0.02,0.00,0.07,12.99
GAM,2,0.00,0.00,4.84,7.06,0.02,0.00,0.07,11.99
ORO,1,0.00,0.43,9.51,46.35,18.92,0.00,0.32,75.52
ORO,2,1.02,0.34,9.06,47.67,15.96,0.00,4.91,78.96
ORO,3,0.04,0.46,6.98,148.27,17.04,0.00,6.67,179.46
SOM,1,4.27,0.29,2.56,127.64,0.29,0.00,1.16,136.21
SOM,2,2.41,0.14,14.89,44.91,0.58,0.00,0.06,62.99
SOM,3,1.99,0.30,5.18,94.87,0.91,0.00,0.00,103.24
SOU,1,0.06,0.07,2.44,14.20,2.77,0.00,0.10,19.65
SOU,2,0.06,0.04,2.57,13.74,1.53,0.00,0.34,18.28
SOU,3,0.06,0.04,4.18,45.81,3.36,0.00,3.88,57.34
TIG,1,0.02,0.02,0.23,12.65,3.83,0.00,2.46,19.21
TIG,2,0.12,0.02,0.47,29.55,4.16,0.00,2.46,36.78
