Technology,Name,MoManI name,2015,2020,2025,2030
Small  Hydro,Sor ,PWRHYD001,0.0052,0.0049,0.0047,0.0044
Small  Hydro,Tis Abay I ,PWRHYD002,0.0085,0.0082,0.0079,0.0077
Medium Hydro,Melka Wakena (refurb 2014) ,PWRHYD003,0.0380,0.0377,0.0375,0.0372
Medium Hydro,Amerti Neshe ,PWRHYD004,0.0979,0.0977,0.0974,0.0972
Medium Hydro,Tis Abay II ,PWRHYD005,0.0723,0.0721,0.0718,0.0716
Medium Hydro,Koka ,PWRHYD006,0.0403,0.0400,0.0398,0.0395
Medium Hydro,Awash II ,PWRHYD007,0.0296,0.0293,0.0291,0.0288
Medium Hydro,Awash III ,PWRHYD008,0.0298,0.0296,0.0293,0.0291
Large Hydro,Finchaa ,PWRHYD009,0.1319,0.1316,0.1314,0.1311
Large Hydro,Melka Wakena ,PWRHYD010,0.1129,0.1127,0.1124,0.1122
Large Hydro,Tana Beles ,PWRHYD011,0.4598,0.4595,0.4593,0.4590
Large Hydro,Gilgel Gibe II ,PWRHYD012,0.4198,0.4195,0.4193,0.4190
Large Hydro,Tekeze ,PWRHYD013,0.2997,0.2995,0.2992,0.2990
Large Hydro,Gigel Gibe I ,PWRHYD014,0.1835,0.1832,0.1830,0.1827
Large Hydro,Gilgel Gibe III ,PWRHYD015,0.7480,0.7477,0.7475,0.7472
Large Hydro,Gilgel Gibe III,PWRHYD016,1.1220,1.1218,1.1215,1.1213
Large Hydro,Genale Dawa III ,PWRHYD017,0.2540,0.2538,0.2535,0.2533
Wind,Adama ,PWRWND001,0.0509,0.0506,0.0504,0.0000
Wind,Ashegoda I,PWRWND002,0.0299,0.0296,0.0294,0.0000
Wind,Ashegoda II ,PWRWND003,0.0900,0.0897,0.0895,0.0000
Wind,Adama II ,PWRWND004,0.1530,0.1528,0.1525,0.1523
Wind,Iteya I,PWRWND005,0.0000,0.1998,0.1996,0.1993
Wind,Iteya II,PWRWND006,0.0000,0.1998,0.1996,0.1993
Wind,Iteya III,PWRWND007,0.0000,0.1999,0.1996,0.1994
Wind,Debire Birhan,PWRWND008,0.0000,0.0999,0.0996,0.0994
Wind,Ayisha I&II,PWRWND009,0.0000,0.4199,0.4196,0.4194
Solar,Metehara,PWRSOL001,0.0000,0.0998,0.0996,0.0993
Solar,Mekele,PWRSOL002,0.0000,0.0998,0.0996,0.0993
Solar, Humera,PWRSOL003,0.0000,0.0998,0.0996,0.0993
Geothermal,Aluto Langano ,PWRGEO001,0.0066,0.0064,0.0061,0.0059
Geothermal,Aluto Langano III,PWRGEO002,0.0000,0.0999,0.0996,0.0994
Geothermal,Tendaho,PWRGEO003,0.0000,0.0998,0.0996,0.0993
Biomass,Bamza,PWRBIO001,0.1200,0.1198,0.1195,0.1193
Biomass,Meikasedi,PWRBIO002,0.1375,0.1373,0.1370,0.1368
Diesel,Dire Dawa ,PWRDSL001,0.0400,0.0397,0.0000,0.0000
Diesel,Awash 7 Kilo ,PWRDSL002,0.0350,0.0347,0.0000,0.0000
Diesel,Kality ,PWRDSL003,0.0120,0.0117,0.0000,0.0000
